,tconst,ordering,nconst,category,job,characters
0,tt0000001,1,nm1588970,self,\N,"[""Self""]"
1,tt0000001,2,nm0005690,director,\N,\N
2,tt0000001,3,nm0374658,cinematographer,director of photography,\N
3,tt0000002,1,nm0721526,director,\N,\N
4,tt0000002,2,nm1335271,composer,\N,\N
5,tt0000003,1,nm0721526,director,\N,\N
6,tt0000003,2,nm1770680,producer,producer,\N
7,tt0000003,3,nm1335271,composer,\N,\N
8,tt0000003,4,nm5442200,editor,\N,\N
9,tt0000004,1,nm0721526,director,\N,\N
10,tt0000004,2,nm1335271,composer,\N,\N
11,tt0000005,1,nm0443482,actor,\N,"[""Blacksmith""]"
12,tt0000005,2,nm0653042,actor,\N,"[""Assistant""]"
13,tt0000005,3,nm0005690,director,\N,\N
14,tt0000005,4,nm0249379,producer,producer,\N
15,tt0000006,1,nm0005690,director,\N,\N
16,tt0000007,1,nm0179163,actor,\N,\N
17,tt0000007,2,nm0183947,actor,\N,\N
18,tt0000007,3,nm0005690,director,\N,\N
19,tt0000007,4,nm0374658,director,\N,\N
20,tt0000007,5,nm0249379,producer,producer,\N
21,tt0000008,1,nm0653028,actor,\N,"[""Sneezing Man""]"
22,tt0000008,2,nm0005690,director,\N,\N
23,tt0000008,3,nm0374658,cinematographer,\N,\N
24,tt0000009,1,nm0063086,actress,\N,"[""Miss Geraldine Holbrook (Miss Jerry)""]"
25,tt0000009,2,nm0183823,actor,\N,"[""Mr. Hamilton""]"
26,tt0000009,3,nm1309758,actor,\N,"[""Chauncey Depew - the Director of the New York Central Railroad""]"
27,tt0000009,4,nm0085156,director,\N,\N
28,tt0000010,1,nm0525910,director,\N,\N
29,tt0000011,1,nm3692297,actor,\N,"[""Acrobats""]"
30,tt0000011,2,nm0804434,director,\N,\N
31,tt0000012,1,nm2880396,self,\N,"[""Self""]"
32,tt0000012,2,nm9735580,self,\N,"[""Self""]"
33,tt0000012,3,nm0525900,self,\N,"[""Self""]"
34,tt0000012,4,nm9735581,self,\N,"[""Self""]"
35,tt0000012,5,nm0525908,director,\N,\N
36,tt0000012,6,nm0525910,director,\N,\N
37,tt0000012,7,nm9735579,self,\N,"[""Self""]"
38,tt0000012,8,nm9653419,self,\N,"[""Self""]"
39,tt0000013,1,nm0525908,self,\N,"[""Self""]"
40,tt0000013,2,nm1715062,self,\N,"[""Self""]"
41,tt0000013,3,nm0525910,director,\N,\N
42,tt0000014,1,nm0166380,actor,\N,"[""The Gardener""]"
43,tt0000014,2,nm0244989,actor,\N,"[""The Boy""]"
44,tt0000014,3,nm0525910,director,\N,\N
45,tt0000015,1,nm0721526,director,\N,\N
46,tt0000016,1,nm0525900,self,\N,"[""Self (on the pier)""]"
47,tt0000016,2,nm9735581,self,\N,"[""Self (on the pier)""]"
48,tt0000016,3,nm0525910,director,\N,\N
49,tt0000017,1,nm3691272,actor,\N,"[""The boy""]"
50,tt0000017,2,nm3692829,actress,\N,"[""The girl""]"
51,tt0000017,3,nm1587194,director,\N,\N
52,tt0000017,4,nm0804434,director,\N,\N
53,tt0000018,1,nm3692071,actor,\N,"[""The Boxer""]"
54,tt0000018,2,nm0804434,director,\N,\N
55,tt0000019,1,nm0932055,director,\N,\N
56,tt0000020,1,nm0010291,director,\N,\N
57,tt0000020,2,nm0666972,producer,producer,\N
58,tt0000022,1,nm0525910,director,\N,\N
59,tt0000023,1,nm0525910,director,\N,\N
60,tt0000024,1,nm0256651,self,\N,"[""Self - Empress of Gemany""]"
61,tt0000024,2,nm0435118,self,\N,"[""Self - Emperor of Germany""]"
62,tt0000024,3,nm0010291,director,\N,\N
63,tt0000024,4,nm0666972,producer,producer,\N
64,tt0000025,1,nm0010291,director,\N,\N
65,tt0000025,2,nm0666972,producer,producer,\N
66,tt0000026,1,nm2350007,actor,\N,"[""Valet""]"
67,tt0000026,5,nm0525910,director,\N,\N
68,tt0000027,1,nm0525910,director,\N,\N
69,tt0000028,1,nm2350838,self,\N,"[""Self""]"
70,tt0000028,2,nm0525908,self,\N,"[""Self""]"
71,tt0000028,3,nm0525910,director,\N,\N
72,tt0000029,1,nm0525908,self,\N,"[""Self""]"
73,tt0000029,2,nm0525900,self,\N,"[""Self""]"
74,tt0000029,3,nm2350838,self,\N,"[""Self""]"
75,tt0000029,4,nm0525910,director,\N,\N
76,tt0000030,1,nm0010291,director,\N,\N
77,tt0000030,2,nm0666972,director,\N,\N
78,tt0000031,1,nm0525910,director,\N,\N
79,tt0000032,1,nm3692479,actress,\N,"[""The dancer""]"
80,tt0000032,2,nm0804434,director,\N,\N
81,tt0000033,1,nm0525910,director,\N,\N
82,tt0000034,1,nm0617588,director,\N,\N
83,tt0000035,1,nm0617588,director,\N,\N
84,tt0000036,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
85,tt0000036,2,nm0005690,director,\N,\N
86,tt0000036,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
87,tt0000036,4,nm0005658,cinematographer,\N,\N
88,tt0000037,1,nm0617588,director,\N,\N
89,tt0000038,1,nm2960633,self,\N,"[""Self - First baseman""]"
90,tt0000038,2,nm0340719,self,\N,"[""Self""]"
91,tt0000038,3,nm2958402,self,\N,"[""Self""]"
92,tt0000038,4,nm0374658,director,\N,\N
93,tt0000039,1,nm0666972,producer,producer,\N
94,tt0000040,1,nm0617588,director,\N,\N
95,tt0000041,1,nm0525910,director,\N,\N
96,tt0000041,2,nm0525908,producer,producer,\N
97,tt0000042,1,nm0617588,director,\N,\N
98,tt0000043,1,nm0617588,director,\N,\N
99,tt0000044,1,nm0617588,director,\N,\N
100,tt0000045,1,nm0617588,director,\N,\N
101,tt0000046,1,nm0617588,director,\N,\N
102,tt0000047,1,nm0617588,director,\N,\N
103,tt0000048,1,nm0010291,director,\N,\N
104,tt0000049,1,nm0010291,director,\N,\N
105,tt0000050,1,nm3029234,self,\N,"[""Self""]"
106,tt0000050,2,nm0617588,director,\N,\N
107,tt0000051,1,nm0617588,director,\N,\N
108,tt0000052,1,nm0895515,director,\N,\N
109,tt0000052,2,nm1729239,cinematographer,\N,\N
110,tt0000053,1,nm0684607,director,\N,\N
111,tt0000054,1,nm0617588,director,\N,\N
112,tt0000055,1,nm0617588,director,\N,\N
113,tt0000056,1,nm0795060,director,\N,\N
114,tt0000057,1,nm0874739,self,\N,"[""Self (Tsar of Russia)""]"
115,tt0000057,2,nm0874746,self,\N,"[""Self (Tsarina of Russia)""]"
116,tt0000057,3,nm0617588,director,\N,\N
117,tt0000058,1,nm0874739,self,\N,"[""Self (Tsar of Russia)""]"
118,tt0000058,2,nm0617588,director,\N,\N
119,tt0000059,1,nm0617588,director,\N,\N
120,tt0000060,1,nm0005690,director,\N,\N
121,tt0000060,2,nm0005658,cinematographer,\N,\N
122,tt0000061,1,nm4007970,actress,\N,\N
123,tt0000061,2,nm0010291,director,\N,\N
124,tt0000061,3,nm0666972,producer,producer,\N
125,tt0000062,1,nm0617588,director,\N,\N
126,tt0000063,1,nm0617588,actor,\N,"[""Georges Méliès""]"
127,tt0000064,1,nm0617588,actor,\N,"[""Lightening Sketch Artist""]"
128,tt0000065,1,nm0617588,actor,\N,"[""Lightening Sketch Artist""]"
129,tt0000066,1,nm0617588,actor,\N,"[""Lightening Sketch Artist""]"
130,tt0000067,1,nm0617588,director,\N,\N
131,tt0000068,1,nm0617588,director,\N,\N
132,tt0000069,1,nm0617588,director,\N,\N
133,tt0000070,1,nm0525908,actor,\N,\N
134,tt0000070,2,nm0525910,director,\N,\N
135,tt0000071,1,nm0617588,director,\N,\N
136,tt0000072,1,nm0617588,director,\N,\N
137,tt0000073,1,nm0617588,director,\N,\N
138,tt0000074,1,nm0617588,director,\N,\N
139,tt0000075,1,nm0194945,actress,\N,"[""Woman""]"
140,tt0000075,2,nm0617588,actor,\N,"[""Magician""]"
141,tt0000076,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
142,tt0000076,2,nm0005690,director,\N,\N
143,tt0000076,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
144,tt0000076,4,nm0005658,cinematographer,\N,\N
145,tt0000077,1,nm0617588,director,\N,\N
146,tt0000078,1,nm0234288,director,\N,\N
147,tt0000079,1,nm0617588,director,\N,\N
148,tt0000080,1,nm0617588,director,\N,\N
149,tt0000081,1,nm0617588,director,\N,\N
150,tt0000082,1,nm0005690,director,\N,\N
151,tt0000082,2,nm0005658,cinematographer,\N,\N
152,tt0000083,1,nm0617588,director,\N,\N
153,tt0000084,1,nm0617588,director,\N,\N
154,tt0000085,1,nm0617588,director,\N,\N
155,tt0000086,1,nm0617588,director,\N,\N
156,tt0000087,1,nm0617588,director,\N,\N
157,tt0000088,1,nm0617588,director,\N,\N
158,tt0000089,1,nm0525908,director,\N,\N
159,tt0000089,2,nm0698645,director,\N,\N
160,tt0000089,3,nm0525910,producer,producer,\N
161,tt0000090,1,nm0617588,director,\N,\N
162,tt0000091,1,nm0194945,actress,\N,"[""Young woman""]"
163,tt0000091,2,nm6170115,actor,\N,"[""Mephistopheles""]"
164,tt0000091,3,nm0617588,actor,\N,"[""Mephistopheles""]"
165,tt0000092,1,nm0617588,director,\N,\N
166,tt0000093,1,nm0525908,director,\N,\N
167,tt0000093,2,nm0525910,director,\N,\N
168,tt0000094,1,nm9513675,self,\N,"[""Self""]"
169,tt0000094,2,nm0617588,director,\N,\N
170,tt0000095,1,nm0617588,director,\N,\N
171,tt0000096,1,nm0617588,director,\N,\N
172,tt0000097,1,nm0617588,director,\N,\N
173,tt0000098,1,nm0617588,director,\N,\N
174,tt0000099,1,nm0617588,director,\N,\N
175,tt0000100,1,nm0617588,director,\N,\N
176,tt0000101,1,nm0617588,director,\N,\N
177,tt0000102,1,nm0617588,director,\N,\N
178,tt0000103,1,nm0617588,director,\N,\N
179,tt0000104,1,nm0525910,producer,producer,\N
180,tt0000105,1,nm0617588,director,\N,\N
181,tt0000106,1,nm0617588,director,\N,\N
182,tt0000107,1,nm0617588,director,\N,\N
183,tt0000108,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
184,tt0000108,2,nm0005690,director,\N,\N
185,tt0000108,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
186,tt0000108,4,nm0005658,cinematographer,\N,\N
187,tt0000109,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
188,tt0000109,2,nm0005690,director,\N,\N
189,tt0000109,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
190,tt0000109,4,nm0005658,cinematographer,\N,\N
191,tt0000110,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
192,tt0000110,2,nm0005690,director,\N,\N
193,tt0000110,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
194,tt0000110,4,nm0005658,cinematographer,\N,\N
195,tt0000111,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
196,tt0000111,2,nm0005690,director,\N,\N
197,tt0000111,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
198,tt0000111,4,nm0005658,cinematographer,\N,\N
199,tt0000112,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
200,tt0000112,2,nm0005690,director,\N,\N
201,tt0000112,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
202,tt0000112,4,nm0005658,cinematographer,\N,\N
203,tt0000113,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
204,tt0000113,2,nm0005690,director,\N,\N
205,tt0000113,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
206,tt0000113,4,nm0005658,cinematographer,\N,\N
207,tt0000114,1,nm0617588,director,\N,\N
208,tt0000115,1,nm0617588,director,\N,\N
209,tt0000116,1,nm0617588,director,\N,\N
210,tt0000117,1,nm0234288,director,\N,\N
211,tt0000118,1,nm0617588,director,\N,\N
212,tt0000119,1,nm0617588,director,\N,\N
213,tt0000120,1,nm0617588,director,\N,\N
214,tt0000121,1,nm0832461,actor,\N,"[""The Soldier""]"
215,tt0000121,2,nm0780534,actress,\N,"[""The Girl""]"
216,tt0000121,3,nm5718242,actress,\N,"[""The Woman""]"
217,tt0000121,4,nm0609678,director,\N,\N
218,tt0000121,5,nm0666972,producer,producer,\N
219,tt0000122,1,nm0617588,director,\N,\N
220,tt0000123,1,nm0617588,self,\N,"[""Self (stage magician)""]"
221,tt0000124,1,nm0617588,director,\N,\N
222,tt0000125,1,nm0666972,producer,producer,\N
223,tt0000126,1,nm0617588,director,\N,\N
224,tt0000127,1,nm0617588,director,\N,\N
225,tt0000128,1,nm0617588,director,\N,\N
226,tt0000129,1,nm0617588,director,\N,\N
227,tt0000130,1,nm0617588,director,\N,\N
228,tt0000131,1,nm0617588,actor,\N,"[""L'homme qui essaie de dormir""]"
229,tt0000132,1,nm9342429,actress,\N,"[""La Serveuse""]"
230,tt0000132,2,nm0577734,actor,\N,"[""Un joueur de cartes""]"
231,tt0000132,3,nm0617588,actor,\N,"[""Un joueur de cartes""]"
232,tt0000132,4,nm3029234,actress,\N,"[""La petite fille""]"
233,tt0000133,1,nm0617588,director,\N,\N
234,tt0000135,1,nm0005690,director,\N,\N
235,tt0000135,2,nm0005658,cinematographer,\N,\N
236,tt0000137,1,nm0349785,director,\N,\N
237,tt0000138,1,nm0617588,actor,\N,"[""Inn Guest""]"
238,tt0000139,1,nm0349785,director,\N,\N
